t_code,t_code_opp,kickoff_time,event,name,name_opp,home_False,home_True,o,d,NPxG,NPxGC,xG,eG,xGC,eGC,PxG,PxGC,xA,xFA,xOG,xPen,xPenC,xSaves,xCS,eGD,pct_win
39,91,2024-03-16,29,Wolves,Bournemouth,False,True,1.0775509922540554,1.4544719381279994,1.4442618226914026,1.1003026703039849,1.5649453074695354,1.550535725328735,1.1922446980420836,1.181266839693698,0.12068348477813284,0.09194202773809868,0.9495909054323551,0.2938796357663166,0.04184671235742825,0.15307392792761648,0.11661850296562491,2.430508034485757,0.30688971216713457,0.369268885635037,0.4584693145843263
21,91,2024-01-30,22,West Ham,Bournemouth,False,True,1.0775509922540554,1.4269962479324745,1.7821559563615448,1.079517411752011,1.9310741011554151,1.9132933066779616,1.1697226093706288,1.1589521281651665,0.14891814479387033,0.09020519761861778,1.1717536679529224,0.3626346242112159,0.041056207381502924,0.18888653576087053,0.11441552209362986,2.3845945424322665,0.3138148463917529,0.7543411785127951,0.5495404920806882
7,91,2024-04-20,34,Aston Villa,Bournemouth,False,True,1.0775509922540554,1.3191743075701108,1.7945147314770558,0.997950510536468,1.944465583793271,1.9265614842596368,1.081339923283821,1.0713832453268897,0.1499508523162152,0.08338941274735301,1.179879466383364,0.3651493983833226,0.03795405490548413,0.1901964133894155,0.10577043727467404,2.2044177473530433,0.34253438048934964,0.8551782389327471,0.5729076598337429
1,91,2023-12-09,16,Man Utd,Bournemouth,False,True,1.0775509922540554,1.337032644476877,2.1830986430093713,1.0114602767069953,2.365519827114214,2.343738776944729,1.0959785745597919,1.0858871079639318,0.18242118410484265,0.08451829785279652,1.435370363249134,0.44421878635132966,0.038467858347220746,0.23138151205586333,0.10720230574936139,2.2342600772025376,0.3376021634477977,1.2578516689807973,0.6538547899490298
54,91,2024-02-10,24,Fulham,Bournemouth,False,True,1.0775509922540554,1.512496681763772,1.452160891904833,1.1441981753958996,1.5735044281945427,1.5590160360451426,1.2398081409257184,1.228392331593449,0.12134353628970973,0.09560996552981882,0.9547844819491643,0.2954869451522352,0.043516146254973825,0.1539111317728434,0.12127088474101828,2.5274707890833024,0.2927628651553316,0.33062370445169353,0.45001956168744717
90,91,2024-03-02,27,Burnley,Bournemouth,False,True,1.0775509922540554,1.5856924016180987,1.395837150660776,1.1995704681843016,1.5124742374256985,1.4985477943378755,1.2998073795689977,1.2878391138962484,0.11663708676492246,0.10023691138469615,0.9177520605384727,0.2840261419226975,0.045622065354713345,0.14794151035631972,0.12713966436415036,2.6497851359828943,0.27586625504152323,0.21070868044162716,0.4218394369279601
49,91,2023-11-25,13,Sheffield Utd,Bournemouth,False,True,1.0775509922540554,1.6672286889960333,1.3554296157259045,1.2612523696200095,1.468690221820482,1.4551669297989018,1.366643461982176,1.3540597882086418,0.11326060609457755,0.10539109236216637,0.8911844208749178,0.27580398201906897,0.047967951497410975,0.14365881036856615,0.13367718462984066,2.786037061083129,0.2581899335878322,0.10110714159026002,0.39690445152855036
4,91,2024-02-17,25,Newcastle,Bournemouth,False,True,1.0775509922540554,1.0985125314492645,2.27775143648796,0.8310206886986676,2.4680818713820356,2.4453564583684617,0.9004613337805866,0.8921701356845289,0.19033043489407575,0.06944064508191894,1.4976038381280443,0.46347881803998536,0.031605379739228945,0.24141353994682363,0.088077936430643,1.8356789592703435,0.409765540339473,1.5531863226839329,0.7150904247620774
17,91,2023-12-23,18,Nott'm Forest,Bournemouth,False,True,1.0775509922540554,1.4674439885096735,1.388827146890484,1.1101159786945505,1.504878473047451,1.4910219696503049,1.202878013051372,1.191802246088977,0.1160513261569669,0.09276203435682162,0.9131430376295163,0.282599740336526,0.042219932112844534,0.14719853647509754,0.1176585925378255,2.4521850925643007,0.30367347625584806,0.29921972356132787,0.44100501129077946
102,91,2024-04-06,32,Luton,Bournemouth,False,True,1.0775509922540554,1.6263800124827628,1.433402526853478,1.2303504961168443,1.5531786016015408,1.5388773640232771,1.3331594072415496,1.3208840453527115,0.11977607474806273,0.10280891112470525,0.9424510029540937,0.29166997692510954,0.04679269141062473,0.1519229765957163,0.13040196743366977,2.717776523453646,0.2668992466008003,0.2179933186705656,0.42483235358982685
6,91,2023-12-31,20,Spurs,Bournemouth,False,True,1.0775509922540554,1.1908385086709818,2.06103930119981,0.9008649508067623,2.233261124989324,2.2126978762490697,0.9761418291883018,0.9671537860908062,0.1722218237895139,0.07527687838153951,1.355117296191372,0.41938204667623075,0.034261696791923896,0.2184447282972018,0.09548056618663053,1.9899610898131639,0.3801635264402411,1.2455440901582635,0.6562950566671784
31,91,2023-12-06,15,Crystal Palace,Bournemouth,False,True,1.0775509922540554,1.1891495580893974,1.4317035569662888,0.8995872659053122,1.5513376646531873,1.53705337791151,0.9747573800811289,0.9657820846068469,0.11963410768689853,0.07517011417581665,0.9413339434790521,0.2913242690736795,0.034213103878358,0.15174290675659377,0.09534514735643917,1.9871387541937677,0.3806853551283781,0.5712712933046632,0.5058492147883027
43,14,2023-11-25,13,Man City,Liverpool,False,True,1.8356922369104074,0.7862607473372436,1.806199578868537,1.0132939632282207,1.9571268248553104,1.9391061441272939,1.0979654851543088,1.0878557236370343,0.15092724598677343,0.08467152192608807,1.187562162581508,0.36752704116348994,0.03853759711499654,0.19143486299692217,0.10739665388900059,2.238310589795891,0.33693820828825466,0.8512504204902596,0.5717840397916543
3,14,2024-02-03,23,Arsenal,Liverpool,False,True,1.8356922369104074,1.0369526845106283,1.554907484641278,1.3363733327987617,1.684836595004674,1.6693230871564013,1.4480415831345477,1.4347084180482796,0.12992911036339594,0.11166825033578598,1.0223395668332005,0.31639391006345025,0.05082495205098203,0.16480100249035506,0.14163907957354893,2.9519751338443476,0.23818480428053318,0.23461466910812168,0.43239828722119694
91,14,2024-01-21,21,Bournemouth,Liverpool,False,True,1.8356922369104074,1.6330760417462118,1.0458824574901429,2.104627631734364,1.133277095813417,1.1228421947836704,2.2804917256039445,2.2594935905990603,0.08739463832327421,0.17586409386958035,0.6876595740328528,0.21281706047509236,0.08004320038626413,0.11085063206909464,0.2230645533607057,4.649006592993068,0.1044033422038624,-1.1366513958153899,0.1774228207553621
21,14,2024-04-27,35,West Ham,Liverpool,False,True,1.8356922369104074,1.4269962479324745,1.2678456216422318,1.8390421860384345,1.3737876505572868,1.3611381950777652,1.9927137822671026,1.97436542671012,0.105942028915055,0.1536715962286681,0.8335986265704541,0.25798231570076685,0.06994245442580356,0.1343759879693747,0.19491577400896512,4.062342962132205,0.13884939440971272,-0.6132272316323548,0.2640211667452982
7,14,2024-05-11,37,Aston Villa,Liverpool,False,True,1.8356922369104074,1.3191743075701108,1.2766377920822707,1.7000866021017556,1.3833145006452927,1.370577324573728,1.842146976711612,1.825184998520007,0.10667670856302203,0.14206037460985654,0.8393794101913309,0.2597713540911184,0.06465769550592364,0.13530784952184427,0.18018819712056894,3.7553977257806013,0.1611878218628364,-0.454607673946279,0.28944402331428204
1,14,2024-04-06,32,Man Utd,Liverpool,False,True,1.8356922369104074,1.337032644476877,1.5530807201651102,1.7231015434455847,1.6828571848659335,1.66736190287696,1.8670850619616906,1.849893460801072,0.12977646470082327,0.1439835185161058,1.0211384834107338,0.31602219845932666,0.0655329997802214,0.16460738800205893,0.18262749684944926,3.8062364643923514,0.15725391912776823,-0.18253155792411202,0.35203553129344733
54,14,2024-04-20,34,Fulham,Liverpool,False,True,1.8356922369104074,1.512496681763772,1.033083452741391,1.9492309163649242,1.1194085976594508,1.1091013939123922,2.112109956666508,2.0926622342664203,0.08632514491805976,0.16287904030158384,0.6792443280455625,0.2102127079992198,0.07413315233779622,0.1094940955328003,0.20659441945913729,4.3057438022795145,0.12335828961320741,-0.9835608403540281,0.19419376077035128
94,14,2024-02-17,25,Brentford,Liverpool,False,True,1.8356922369104074,1.3108386961621739,1.3389674073591236,1.6893440783930704,1.4508524203017998,1.4374933738068636,1.8305068005301504,1.8136520018508384,0.11188501294267628,0.14116272213707992,0.8803606470253145,0.272454237725667,0.06424913583251486,0.14191401946052293,0.1790496221931506,3.7316680822113466,0.1630575616021209,-0.3761586280439748,0.3066165761430527
90,14,2023-12-26,19,Burnley,Liverpool,False,True,1.8356922369104074,1.5856924016180987,0.9930141151080124,2.0435619399009632,1.0759910393486494,1.066083612430753,2.214323343679969,2.193934468775043,0.08297692424063696,0.17076140377900595,0.6528990504750116,0.202059364772885,0.07772074992783373,0.10524724028492766,0.21659234370751643,4.514115840986161,0.11147728076767074,-1.12785085634429,0.17369700537874092
11,14,2024-03-16,29,Everton,Liverpool,False,True,1.8356922369104074,1.4828846577450443,1.2194117013978996,1.911068404400842,1.3213065595128155,1.3091403353568645,2.0707585596544713,2.051691589443637,0.10189485811491594,0.1596901552536294,0.8017537010480538,0.2481269400226821,0.07268175564114304,0.12924259020156767,0.20254966419790638,4.221444913938877,0.12851732106589997,-0.7425512540867725,0.24156109216904229
49,14,2023-12-06,15,Sheffield Utd,Liverpool,False,True,1.8356922369104074,1.6672286889960333,0.9642677441376934,2.148641874342438,1.0448426023755346,1.035221981622032,2.328183827790079,2.306746557142154,0.08057485823784116,0.1795419534476408,0.6339985353407608,0.19621002852537706,0.08171715010915381,0.10220047975373055,0.22772951984733739,4.746231632228112,0.09958471827450824,-1.271524575520122,0.15577758935586855
17,14,2024-03-02,27,Nott'm Forest,Liverpool,False,True,1.8356922369104074,1.4674439885096735,0.9880271202515098,1.8911692335756525,1.070587327863349,1.0607296568213551,2.0491966007934503,2.030328167116667,0.08256020761183924,0.15802736721779786,0.6496201401785753,0.20104460677750552,0.0719249503546095,0.10471868038031361,0.20044059768873398,4.177488740900721,0.13129242822042952,-0.969598510295312,0.1917394853726229
102,14,2023-11-05,11,Luton,Liverpool,False,True,1.8356922369104074,1.6263800124827628,1.0197385426539025,2.0959981204008393,1.104948577951182,1.0947745180531443,2.2711411265262864,2.250229089243049,0.08521003529727955,0.1751430061254471,0.6704701535477027,0.20749727423629097,0.07971500280181273,0.1080796997682389,0.22214993166596536,4.629944477453511,0.1053750814988551,-1.1554545711899047,0.17303913145439884
31,14,2023-12-09,16,Crystal Palace,Liverpool,False,True,1.8356922369104074,1.1891495580893974,1.0185298765295456,1.5325171359096998,1.1036389148763215,1.093476913992464,1.660575293743665,1.645285177225233,0.08510903834677586,0.12805815783396524,0.6696754649799092,0.20725133381551106,0.05828469338488957,0.10795159607658024,0.16242790186956524,3.385245998527444,0.19295752785439768,-0.551808263232769,0.2527133624826498
43,6,2023-12-03,14,Man City,Spurs,False,True,1.5106431805105545,0.7862607473372436,1.8513627896021871,0.8338683275032734,2.006063903712781,1.987592623941998,0.9035469231900827,0.8952273138429501,0.15470111411059406,0.06967859568680923,1.21725662206177,0.3767168900620151,0.03171368114135248,0.19622160592414264,0.08837975099798229,1.8419692366464728,0.4085147270332437,1.092365310099048,0.6283820795539289
8,6,2024-02-24,26,Chelsea,Spurs,False,True,1.5106431805105545,1.1558898189863875,1.392165049528885,1.2258782005848003,1.5084952930649056,1.4946054869926557,1.3283134037008297,1.3160826624678965,0.1163302435360205,0.10243520311602938,0.9153376826300589,0.2832789396314079,0.04662260106207078,0.1475523129579154,0.12992795930495862,2.707897468792964,0.2681838134562678,0.1785228245247592,0.41480551273653
39,6,2023-11-11,12,Wolves,Spurs,False,True,1.5106431805105545,1.4544719381279994,1.0531552426825341,1.5425392740953248,1.1411575998053158,1.1306501372815412,1.6714348885054913,1.6560447798518774,0.0880023571227817,0.1288956144101665,0.6924413736811936,0.21429693305066433,0.058665855355299376,0.11162145753777487,0.16349012482263636,3.407384350128607,0.19089251083419162,-0.5253946425703362,0.26010021361672564
21,6,2024-04-02,31,West Ham,Spurs,False,True,1.5106431805105545,1.4269962479324745,1.2995475330244906,1.513399948613376,1.4081385948777763,1.3951728454348569,1.639860661478688,1.6247612795461317,0.10859106185328571,0.1264607128653119,0.8544423865178828,0.264433047849009,0.057557628496778986,0.13773599930655214,0.1604017159631049,3.343017184061651,0.19695868765986488,-0.22958843411127483,0.3295751894747782
7,6,2024-03-09,28,Aston Villa,Spurs,False,True,1.5106431805105545,1.3191743075701108,1.3085595477447716,1.3990494594370952,1.417903659581258,1.4048479961322176,1.5159549688738758,1.5019964761767324,0.1093441118364864,0.11690550943678057,0.860367716041621,0.2662668203422689,0.05320865056767061,0.138691161639379,0.1482819754398536,3.090423247691813,0.22268513049275668,-0.09714848004451482,0.354791449681996
36,6,2023-12-28,19,Brighton,Spurs,False,True,1.5106431805105545,1.2065393286399853,1.676409724210676,1.2795945053179818,1.8164916430532554,1.7997658920549813,1.386518278818378,1.3737516032463992,0.14008191884257948,0.10692377350039628,1.1022263435048678,0.3411172900963766,0.04866553962228747,0.17767874028739153,0.13562122463266904,2.826553829229509,0.2531554370418987,0.42601428880858205,0.47578653834316265
14,6,2024-05-04,36,Liverpool,Spurs,False,True,1.5106431805105545,1.1617885078721597,1.8262940859918635,1.2321340512708465,1.9789004424463101,1.9606792762893892,1.3350919974582374,1.3227988408149505,0.15260635645444665,0.10295794618739085,1.2007741445875806,0.3716158887266708,0.0468605235821876,0.19356463274282934,0.13059100226711168,2.721716298616196,0.2663886781076485,0.6378804354744387,0.5230661769059103
1,6,2024-01-14,21,Man Utd,Spurs,False,True,1.5106431805105545,1.337032644476877,1.591914807312404,1.417989107103428,1.7249362743330836,1.7090535397646536,1.5364772261785244,1.5223297702307585,0.13302146702067952,0.11848811907509638,1.0466715934026036,0.323924191856131,0.05392896326837968,0.16872332194403794,0.1502893443367534,3.1322598868873115,0.21820293161358903,0.18672376953389502,0.42368782266632027
54,6,2024-03-16,29,Fulham,Spurs,False,True,1.5106431805105545,1.512496681763772,1.0589152413363336,1.6040773784623925,1.1473989078027096,1.1368339770467704,1.7381151580707073,1.722111075997777,0.08848366646637595,0.13403777960831476,0.6962285279568344,0.21546898252244126,0.06100627260772559,0.1122319463043835,0.17001240437381374,3.5433186354192707,0.17868852440083208,-0.5852770989510065,0.2512744730025224
